	en	fr	es	el
navbar_tools	Tools	Outils	Herramientas	Εργαλεία
navbar_twitter_sna	Twitter SNA.	Twitter SNA.	Twitter SNA.	Twitter SNA.
navbar_twitter_sna_description	It performs social network analysis on Twitter (available on registration)	Fournit un outil d'analyse de réseau social sur Twitter (sur enregistrement) 	Provee una herramiento de análisis de redes sociales en Twitter (disponible con registro)	Η ανάλυση των κοινωνικών δικτύων στο Twitter (διαθέσιμο κατά την εγγραφή)
close	Close	Fermer	Cerrar	Κλείσιμο
category_data	Data analysis	Analyse des données	Análisis de datos	Ανάλυση δεδομένων
